model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
llama-4-maverick,free-form,abc,Echoes in the Attic,C,minor,0.614,C,major,major,0,1.0,1.8676,2.2222,,0.6667,0.9167,0.0,1.0,1.9997,2,1,1.04,91.8,25,0.0,0.9983,19.905,1.0909,1.0876,6.0,26.0,120.0,22,8.0,1.38,1,0.519,happy/excited
gpt-4.1,free-form,abc,Refractions,D,minor,1.536,D,minor,minor,1,0.9904,2.7409,3.874,,0.4043,0.8,1.806,1.0,1.9011,2,1,1.04,91.7,25,0.0105,0.9973,5.256,0.8857,1.1589,19.0,31.0,120.0,208,48.0,2.17,-1,0.598,angry/tense
gpt-4.1,free-form,abc,Reflections in Still Water,C#,major,1.262,D-,major,major,1,1.0,2.3625,3.9446,,0.2987,0.9213,1.294,0.9741,1.7405,2,1,1.04,96.5,25,0.0,0.9993,12.424,1.4362,1.508,22.0,43.0,120.0,143,70.0,1.02,1,0.484,serene/content
grok-4.3,free-form,abc,Inner Algorithm,A,minor,1.318,A,minor,minor,1,1.0,2.7607,3.023,,,0.913,3.0,0.8774,1.0,1,1,1.04,91.9,25,0.0,0.9994,1.561,1.3659,0.8494,9.0,13.0,80.0,46,45.0,0.77,-1,0.24,sad/depressed
deepseek-v4-pro,free-form,abc,Echoes of a Quiet Search,D,minor,1.211,D,minor,minor,1,1.0,2.7012,4.1375,,0.7176,0.8216,2.083,0.9522,1.8498,2,1,1.04,89.6,25,0.0,0.9999,14.028,1.0,0.3097,20.0,33.0,70.0,180,85.7,1.8,-1,0.289,sad/depressed
grok-4.3,free-form,abc,Digital Reverie,A,minor,1.406,A,minor,minor,1,0.9796,2.8807,4.3981,,0.5778,0.8082,2.054,0.995,1.6138,2,1,1.04,93.1,25,0.0096,0.9983,9.395,1.2143,1.6082,24.0,36.0,120.0,220,104.0,1.06,-1,0.488,sad/depressed
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.092,C,major,major,1,1.0,2.7937,4.8042,,0.5975,0.7619,2.286,0.9421,1.9215,2,1,1.04,88.6,25,0.0177,0.9996,18.299,0.6293,0.7224,31.0,52.0,120.0,263,58.2,2.26,1,0.608,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.391,C,major,major,1,1.0,2.555,2.9056,,0.5,0.7778,1.0,1.0,2.9867,2,1,1.04,92.2,25,0.0,0.9967,6.746,0.6516,1.2788,9.0,14.0,120.0,44,16.0,1.38,1,0.519,happy/excited
gpt-5.5,free-form,abc,Between Clock and Breath,D,minor,1.47,D,minor,minor,1,0.9736,2.8176,4.2976,,0.7568,0.8326,2.065,0.9427,1.9369,2,1,1.04,91.1,25,0.0,0.9996,13.584,1.0783,0.4628,25.0,38.0,72.0,227,106.7,1.77,-1,0.297,sad/depressed
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,0.908,C,major,major,1,1.0,2.8026,4.6172,,0.7183,0.7207,2.214,0.9214,3.0738,2,1,1.04,92.0,25,0.0462,0.9988,13.361,0.5083,0.8566,28.0,50.0,120.0,117,32.0,1.83,1,0.565,happy/excited
gpt-4.1,free-form,abc,Spirals of Thought,E,minor,0.934,E,minor,minor,1,1.0,2.7068,4.0775,,0.6056,0.8252,2.4,0.8768,1.9674,2,1,1.04,90.5,25,0.0,0.9981,13.895,0.6643,1.1759,20.0,35.0,120.0,105,25.5,2.06,-1,0.588,angry/tense
