model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
fable-5,free-form,abc,0,20260702_213628__models_1_prompts_12,Correspondence,A,minor,0.795,A,minor,minor,1,1.0,2.6274,3.8333,1.0,0.6733,0.8529,2.194,0.9568,2.0612,2,1,1.83,4,3,3,78.6,55,0.0,0.9993,10.609,1.2161,1.1338,18.0,38.0,76.0,0,150,101.1,1.17,-1,0.259,sad/depressed,3
fable-5,harp-piece,abc,0,20260702_213628__models_1_prompts_12,Cascades of Quiet Light,G,major,1.265,G,major,major,1,0.9891,2.8083,4.5768,0.9891,0.7318,0.9243,1.742,0.9732,2.0801,2,1,1.04,0,0,0,86.0,25,0.0,0.9998,14.292,0.4949,1.0118,32.0,50.0,76.0,0,271,75.8,2.82,1,0.424,serene/content,3
fable-5,piano-piece,abc,0,20260702_213628__models_1_prompts_12,Quiet Circuitry,E,minor,1.719,E,minor,minor,1,0.9577,2.796,4.3623,0.9577,0.597,0.9111,1.8,0.9722,2.0616,2,1,1.04,5,3,4,77.9,55,0.0,0.9998,14.758,0.4955,0.9043,28.0,48.0,76.0,0,303,85.3,2.81,-1,0.422,sad/depressed,3
fable-5,eastern-harmony,abc,0,20260702_213628__models_1_prompts_12,Caravan at Dusk,D,major,0.749,C,major,major,1,0.8957,2.4533,3.102,0.8294,0.6131,0.8333,0.516,0.9779,2.1075,2,1,1.04,0,0,0,92.0,25,0.0,0.9983,9.79,0.8797,1.636,10.0,24.0,90.0,0,205,85.3,1.6,1,0.378,serene/content,3
fable-5,western-harmony,abc,0,20260702_213628__models_1_prompts_12,Emergent Light,E,minor,1.319,E,minor,minor,1,0.9639,2.8743,4.4056,0.9639,0.7023,0.9161,1.906,0.961,2.2112,2,1,1.04,4,2,3,80.2,40,0.0,0.9998,15.266,0.9188,0.6392,28.0,43.0,69.0,0,247,114.8,1.87,-1,0.291,sad/depressed,3
fable-5,stab-voicing,abc,0,20260702_213628__models_1_prompts_12,Threads of Light,G,major,0.82,D,major,major,1,1.0,2.7096,4.0182,0.9041,0.6452,0.9254,1.478,0.9741,3.6865,4,1,1.83,0,0,0,99.7,25,0.0,0.9997,11.359,1.5082,1.2234,22.0,38.0,66.0,0,146,87.3,1.52,1,0.239,serene/content,3
fable-5,string-quartet,abc,0,20260702_213628__models_1_prompts_12,Threads of Becoming,D,minor,1.027,D,minor,minor,1,1.0,2.7472,4.6224,0.9109,0.5096,0.8726,1.8,0.9739,3.443,4,3,11.02,25,5,23,72.8,60,0.0,0.9998,15.005,0.8395,1.2723,32.0,53.0,72.0,0,421,120.0,2.92,-1,0.412,sad/depressed,3
fable-5,melody-accomp,abc,0,20260702_213628__models_1_prompts_12,Quiet Signal,G,major,1.278,G,major,major,1,0.9898,2.7619,4.0534,0.9898,0.8729,0.9481,2.308,0.9571,2.6352,2,1,1.04,0,0,0,86.9,25,0.0,0.9998,13.194,0.5912,0.8948,26.0,41.0,100.0,0,215,72.0,1.79,1,0.452,serene/content,3
fable-5,modern,abc,0,20260702_213628__models_1_prompts_12,Loom,D,minor,0.857,D,minor,minor,1,0.9904,2.5787,4.1858,0.9904,0.5467,0.9196,0.944,0.9767,2.753,3,2,2.86,13,4,12,67.8,45,0.0355,0.9997,10.206,0.5833,1.3644,25.0,50.0,126.0,0,310,66.7,2.21,-1,0.636,angry/tense,3
fable-5,orchestral,abc,0,20260702_213628__models_1_prompts_12,Threshold of Light,D,minor,1.145,D,minor,minor,1,0.8586,2.9605,4.3513,0.8586,0.7384,0.8923,1.429,0.984,4.4791,6,5,16.29,22,4,21,95.1,60,0.0,0.9992,8.749,0.7002,1.4529,31.0,40.0,104.0,0,564,83.1,3.92,-1,0.686,angry/tense,3
fable-5,postmodern,abc,0,20260702_213628__models_1_prompts_12,Palimpsest for a Machine That Remembers Everything,C,major,1.243,C,major,major,1,0.9371,2.9292,4.2832,0.9371,0.7259,0.8539,1.857,0.9178,2.6547,2,1,1.04,0,0,0,87.7,25,0.0171,0.9982,10.985,0.4211,1.2852,33.0,45.0,120.0,0,264,58.0,2.28,1,0.609,happy/excited,3
fable-5,fugue,abc,0,20260702_213628__models_1_prompts_12,"Three Voices, One Question",D,minor,1.414,D,minor,minor,1,0.9699,2.8921,4.4533,0.9699,0.6235,0.6633,1.667,0.9329,2.6882,3,1,1.83,0,0,0,87.0,25,0.0,0.9998,13.852,0.5,0.9787,30.0,43.0,88.0,0,369,68.2,3.69,-1,0.576,angry/tense,3
