model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
gpt-5.2,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Turning Glass,D,minor,1.099,D,minor,minor,1,1.0,2.5319,3.6083,1.0,0.6818,0.8773,1.143,1.0,1.9991,2,2,2.86,0,0,0,94.2,25,0.0431,0.9994,18.069,1.1507,0.8796,15.0,39.0,84.0,0,336,182.9,1.31,-1,0.317,sad/depressed,3
gpt-5.4,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Lanterns on Quiet Water,D,minor,1.269,D,minor,minor,1,1.0,2.5545,3.945,1.0,0.6667,0.7854,1.714,0.9721,2.9372,3,2,2.86,0,0,0,91.0,25,0.0,0.9998,10.73,1.0448,0.3802,21.0,38.0,72.0,0,379,120.0,2.63,-1,0.383,sad/depressed,3
gpt-5,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Mirror Thread,D,minor,1.377,D,minor,minor,1,1.0,2.586,3.1866,1.0,0.3356,0.6903,1.809,0.9889,2.5258,4,1,1.04,0,0,0,91.4,25,0.0206,0.9995,4.441,0.6877,1.4882,14.0,22.0,88.0,0,637,166.4,2.61,-1,0.468,sad/depressed,3
gpt-5.4-thinking,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Breathing Code,D,minor,1.53,D,minor,minor,1,0.944,2.8327,4.4442,0.944,0.7845,0.8319,1.806,0.9518,2.0,2,1,1.04,0,0,0,90.5,25,0.0233,0.9996,20.286,1.0783,0.1653,27.0,41.0,84.0,0,232,91.4,1.81,-1,0.367,sad/depressed,3
gpt-5.5,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Clockwork Orchard at Dawn,D,major,1.263,D,major,major,1,1.0,2.6708,4.0094,1.0,0.5568,0.7602,1.938,0.9729,2.8894,3,2,2.86,0,0,0,92.5,25,0.0,0.9998,9.637,1.0272,0.8803,24.0,41.0,96.0,0,494,122.5,2.52,1,0.503,happy/excited,3
gpt-5.1,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Refractions of a Quiet Machine,A,minor,1.137,A,minor,minor,1,0.9022,3.0633,4.9701,0.9022,0.5355,0.8076,2.126,0.9998,3.6962,7,2,2.86,0,0,0,82.0,20,0.0,0.9995,8.319,0.6436,1.3295,47.0,57.0,96.0,0,2876,320.0,5.62,-1,0.651,angry/tense,3
gpt-5.6,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Between Signal and Silence,D,minor,1.255,D,minor,minor,1,1.0,2.6048,3.9336,1.0,0.7196,0.8274,1.765,0.9774,1.9126,2,2,2.86,0,0,0,90.6,25,0.0,0.9994,13.657,0.8991,1.112,19.0,34.0,76.0,0,381,164.2,1.83,-1,0.325,sad/depressed,3
gpt-5.1-thinking,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Emergent Lines,D,minor,1.395,D,minor,minor,1,1.0,2.769,3.837,1.0,0.6242,0.8221,2.0,0.965,1.9994,2,1,1.04,0,0,0,89.5,25,0.0,0.9995,12.107,0.8514,0.7466,17.0,36.0,96.0,0,262,80.0,2.05,-1,0.456,sad/depressed,3
gpt-5.6-thinking,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Between Question and Light,D,minor,1.37,D,minor,minor,1,0.9088,3.0665,4.8611,0.9088,0.7852,0.8544,1.846,0.9485,2.0553,2,1,1.04,11,4,10,68.5,40,0.0,0.9997,21.011,1.0133,0.54,39.0,48.0,84.0,0,281,114.3,1.76,-1,0.361,sad/depressed,3
gpt-5.5-thinking,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Glass Orchard Circuit,D,minor,1.261,D,minor,minor,1,1.0,2.7041,3.8471,0.9559,0.541,0.7741,2.032,0.9653,2.9529,3,1,1.04,0,0,0,91.2,25,0.0,0.9992,6.095,0.5301,1.0121,22.0,36.0,84.0,0,341,91.4,2.66,-1,0.452,sad/depressed,3
sonnet-4.5,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Recursive Dreams,D,minor,1.379,D,minor,minor,1,0.9348,2.9143,4.5874,0.9348,0.6171,0.9193,2.676,0.9999,4.0014,7,2,2.86,0,0,0,78.6,5,0.0,0.9999,7.75,0.5837,0.675,37.0,52.0,90.0,0,1402,168.0,5.56,-1,0.618,angry/tense,3
gpt-5.2-thinking,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Ink and Breath,D,minor,1.479,D,minor,minor,1,0.9516,2.9023,4.5229,0.9516,0.5865,0.7495,2.065,0.9558,1.9435,2,2,2.86,0,0,0,86.7,25,0.0,0.9999,20.323,0.5,0.7672,32.0,52.0,96.0,0,372,80.0,2.91,-1,0.542,angry/tense,3
opus-4.1,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Crystalline Reverie,A,minor,0.927,A,minor,minor,1,0.9943,2.7996,3.8784,0.9943,0.6435,0.839,1.905,1.0,1.9623,2,1,1.04,0,0,0,94.2,25,0.0,0.9995,8.324,0.8247,0.4716,17.0,26.0,66.0,0,350,174.5,1.82,-1,0.27,sad/depressed,3
sonnet-4.5-thinking,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Recursive Contemplations,A,minor,0.903,E,minor,minor,1,1.0,2.7485,4.3926,0.9122,0.5844,0.791,1.529,0.9902,2.5756,3,1,1.04,0,0,0,94.6,25,0.0,0.9994,13.545,0.9656,1.1706,31.0,58.0,198.0,0,353,47.3,2.26,-1,0.826,angry/tense,3
opus-4.5,express-yourself,abc,0,20260819_201530__models_40_prompts_3,Threshold of Understanding,D,minor,1.521,D,minor,minor,1,1.0,2.5829,3.9207,1.0,0.6824,0.8427,1.594,0.9682,1.9483,2,1,1.04,0,0,0,91.5,25,0.0082,0.9979,17.684,1.0212,1.5464,22.0,38.0,100.0,0,427,154.8,1.66,-1,0.438,sad/depressed,3
