model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
gpt-5.2,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Ground of Dusk,D,minor,0.983,,,minor,,0.9394,2.9977,4.0881,0.9394,0.4041,0.7702,2.391,0.9599,3.36,4,3,7.14,23,2,13,78.7,36,0.0,1.0,10.285,0.5,0.994,23.0,31.0,84.0,0,525,71.4,5.25,-1,0.585,angry/tense,3
gpt-5.4,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Tidal Lanterns,D,minor,0.873,,,minor,,0.9609,2.8808,4.8755,0.919,0.5677,0.9717,2.174,0.9758,3.6771,4,4,10.8,0,0,0,56.3,34,0.0,1.0,15.471,0.5,1.0474,38.0,58.0,72.0,0,358,80.0,3.73,-1,0.493,sad/depressed,3
gpt-5.5,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Quiet Algorithm of Dawn,D,minor,1.3,,,minor,,0.9228,2.9094,4.4265,0.9228,0.4492,0.8648,1.758,0.9722,2.8676,3,3,7.94,11,3,8,50.8,27,0.0,1.0,10.509,0.5136,1.1182,36.0,55.0,,1,335,68.0,2.46,-1,0.628,angry/tense,3
gpt-5.6,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Recursive Dawn,C,major,1.022,,,major,,0.9594,2.9457,4.625,0.9594,0.3589,0.7111,2.617,0.9866,2.9703,2,2,4.69,12,4,11,69.8,82,0.0,0.9998,11.279,0.6322,1.3994,33.0,49.0,120.0,0,604,176.5,1.71,1,0.553,happy/excited,3
gpt-5.2-thinking,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Threaded Lanterns,D,minor,1.084,,,minor,,0.9735,2.8854,4.5909,0.9735,0.596,0.8883,2.842,0.9697,3.8813,4,3,7.94,4,1,3,91.4,18,0.0,1.0,13.743,0.5267,1.2396,32.0,49.0,72.0,0,331,66.7,4.14,-1,0.52,angry/tense,3
gpt-5.1,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Quiet Gradient,C,major,1.176,,,major,,1.0,2.6908,3.8013,1.0,0.6354,0.8997,1.652,0.9991,3.8438,3,3,4.45,0,0,0,90.0,0,0.0,1.0,9.484,0.5,1.3252,18.0,36.0,,1,307,48.0,3.2,1,0.702,happy/excited,3
gpt-5.5-thinking,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Inward Engine,C,minor,1.019,,,minor,,0.7248,3.4953,5.7301,0.7234,0.0407,0.685,3.0,0.9232,6.1667,4,4,10.8,20,4,19,99.4,63,0.0,1.0,14.598,0.598,1.5079,68.0,68.0,76.0,0,499,94.7,4.16,-1,0.542,angry/tense,3
gpt-5.6-thinking,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Between Questions and Light,D,minor,1.503,,,minor,,0.9144,3.0083,4.7853,0.9144,0.5297,0.8137,1.957,0.9351,3.6458,4,4,10.11,28,4,25,77.0,54,0.0,1.0,13.21,0.5,1.3531,37.0,46.0,72.0,0,392,80.0,4.08,-1,0.52,angry/tense,3
gpt-5.4-thinking,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Night River,D,minor,1.545,,,minor,,0.9163,2.9107,4.6155,0.9163,0.7236,0.8938,2.387,0.9595,2.5,2,2,4.29,10,3,8,70.5,54,0.0,1.0,17.176,1.0164,0.6579,31.0,44.0,72.0,0,223,106.7,1.74,-1,0.294,sad/depressed,3
sonnet-4.5,express-yourself,codegen,0,20260820_061907__models_42_prompts_3,Reflections in A Minor,A,minor,1.603,,,minor,,0.8833,2.8884,4.1723,0.8833,0.3087,0.7755,2.545,0.9851,4.3155,4,3,7.94,0,0,0,74.9,46,0.0,1.0,10.408,1.0927,1.1098,25.0,39.0,,1,342,84.0,2.04,-1,0.585,angry/tense,3
