model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
fable-5,harp-piece,smt-abc,0,20260702_220405__models_1_prompts_12,Where the Light Settles,D,major,1.19,D,major,major,1,1.0,2.7026,4.5835,1.0,0.7391,0.9199,2.065,0.9561,2.1676,2,1,3.28,0,0,0,86.2,25,0.0,0.9997,19.435,0.4821,1.0036,30.0,51.0,76.0,0,277,75.8,2.89,1,0.43,serene/content,3
fable-5,piano-piece,smt-abc,0,20260702_220405__models_1_prompts_12,What Remains When the Words End,E,minor,1.245,E,minor,minor,1,0.96,2.8276,4.7737,0.96,0.6927,0.8798,2.875,0.9785,2.2398,2,1,1.04,6,3,4,49.9,30,0.0,0.9998,18.46,0.5198,1.0534,35.0,56.0,66.0,0,273,90.0,2.76,-1,0.363,sad/depressed,3
fable-5,western-harmony,smt-abc,0,20260702_220405__models_1_prompts_12,Letter in D Major,D,major,1.339,D,major,major,1,0.9945,2.7895,4.0887,0.9945,0.6076,0.9228,1.871,0.9784,3.659,4,3,11.02,0,0,0,88.6,25,0.0,0.9999,8.981,0.5769,1.5053,26.0,43.0,84.0,0,366,68.6,3.81,1,0.567,happy/excited,3
fable-5,free-form,smt-abc,0,20260702_220405__models_1_prompts_12,Emergence,E,minor,0.8,E,minor,minor,1,0.9356,2.7905,4.1978,0.9356,0.6605,0.9093,2.562,0.966,3.5122,4,3,11.02,31,5,8,61.1,85,0.0,0.9996,9.373,0.5822,1.4995,26.0,40.0,88.0,0,439,90.0,3.33,-1,0.54,angry/tense,3
fable-5,eastern-harmony,smt-abc,0,20260702_220405__models_1_prompts_12,Dusk Over the Caravanserai,G,major,0.623,C,major,major,1,0.9346,2.1789,3.7772,0.9183,0.566,0.8719,0.087,0.9961,3.6718,4,4,15.36,0,0,0,89.8,25,0.0,0.9989,14.153,0.5383,1.6997,25.0,56.0,78.0,0,354,73.8,3.69,1,0.521,happy/excited,3
fable-5,stab-voicing,smt-abc,0,20260702_220405__models_1_prompts_12,Held in Four Voices,D,minor,1.317,D,minor,minor,1,0.9704,2.8881,4.3854,0.9704,0.9184,0.8112,1.667,0.9822,3.9996,4,1,1.83,12,2,2,73.8,25,0.0,0.9998,12.94,1.9574,0.5978,27.0,44.0,66.0,0,173,90.9,1.73,-1,0.26,sad/depressed,3
fable-5,string-quartet,smt-abc,0,20260702_220405__models_1_prompts_12,Between the Lines,E,minor,1.098,E,minor,minor,1,0.9799,2.8023,4.5068,0.9799,0.5817,0.8851,1.935,0.97,3.7122,4,3,11.02,28,5,8,65.1,60,0.0,0.9995,11.739,0.8158,1.7372,29.0,48.0,84.0,0,352,91.4,2.75,-1,0.46,sad/depressed,3
fable-5,melody-accomp,smt-abc,0,20260702_220405__models_1_prompts_12,Letter from a Quiet Room,E,minor,1.183,E,minor,minor,1,0.9486,2.8379,4.2026,0.9486,0.6703,0.9304,2.087,0.9614,3.0218,3,3,6.86,0,0,0,89.2,25,0.0,0.9997,10.787,0.4923,1.1897,26.0,43.0,80.0,0,308,72.0,3.21,-1,0.484,sad/depressed,3
fable-5,modern,smt-abc,0,20260702_220405__models_1_prompts_12,Signal Through Static,D,minor,0.873,D,minor,minor,1,0.986,2.8438,4.7663,0.986,0.7313,0.9478,1.4,0.9882,3.4374,4,3,7.94,10,3,3,72.8,70,0.0,0.9998,13.249,0.5034,1.6452,39.0,60.0,104.0,0,501,94.6,3.05,-1,0.6,angry/tense,3
fable-5,postmodern,smt-abc,0,20260702_220405__models_1_prompts_12,Palimpsest,C,major,1.1,C,major,major,1,0.9033,3.0937,4.715,0.9033,0.6202,0.9036,2.395,0.9785,3.1144,4,4,10.11,42,5,16,69.5,70,0.0565,0.999,13.64,0.6043,1.2696,43.0,47.0,132.0,0,483,80.0,2.74,1,0.722,happy/excited,3
fable-5,orchestral,smt-abc,0,20260702_220405__models_1_prompts_12,Of Storm and Daybreak,D,minor,1.324,D,minor,minor,1,0.9023,2.9143,4.6229,0.9023,0.7842,0.9109,2.0,0.9898,6.1819,10,9,28.61,0,0,0,92.7,25,0.0,0.9992,7.478,0.4983,1.7447,40.0,53.0,100.0,0,880,86.4,6.11,-1,0.673,angry/tense,3
fable-5,fugue,smt-abc,0,20260702_220405__models_1_prompts_12,"One Mind, Three Voices",E,minor,1.422,E,minor,minor,1,0.8929,3.1095,4.9092,0.8929,0.5723,0.6571,1.517,0.9272,2.7399,3,1,4.25,0,0,0,87.6,25,0.0,0.9995,15.753,0.6517,0.8804,39.0,51.0,100.0,0,439,72.0,3.66,-1,0.639,angry/tense,3
