model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
fable-5,free-form,codegen,1,20260702_223234__models_1_prompts_1,Threads of Light,E,minor,1.0,,,minor,,0.9876,2.7927,4.362,0.9876,0.8476,0.9687,2.348,0.9721,4.6927,3,2,4.69,9,4,8,70.9,86,0.0,1.0,7.329,0.4231,1.1949,31.0,52.0,120.0,269,48.0,2.8,-1,0.662,angry/tense,2
fable-5,free-form,codegen,3,20260702_223234__models_1_prompts_1,Quiet Circuitry,E,minor,1.377,,,minor,,0.9807,2.7791,4.3479,0.9807,0.8013,0.9499,2.581,0.972,2.4948,3,2,4.69,9,3,7,41.4,48,0.0,1.0,12.833,0.5,1.15,28.0,47.0,120.0,258,48.0,2.69,-1,0.651,angry/tense,2
fable-5,free-form,codegen,2,20260702_223234__models_1_prompts_1,"Each Time, the First Time",E,minor,1.18,,,minor,,0.9824,2.8158,4.4713,0.9824,0.7956,0.953,1.565,0.9777,2.7292,3,2,4.69,10,4,8,62.7,29,0.0,1.0,13.06,0.5,1.2487,29.0,47.0,120.0,278,48.0,2.9,-1,0.671,angry/tense,2
fable-5,free-form,codegen,0,20260702_223234__models_1_prompts_1,Emergence,E,minor,0.958,,,minor,,1.0,2.7477,4.6222,1.0,0.7975,0.9436,2.241,0.9877,3.8611,5,4,10.11,11,5,10,65.3,42,0.0,1.0,12.024,0.5385,1.3957,29.0,50.0,120.0,276,45.0,3.07,-1,0.688,angry/tense,2
fable-5,free-form,codegen,5,20260702_223234__models_1_prompts_1,Emergent,E,minor,1.325,,,minor,,0.9799,2.8143,4.2121,0.9799,0.658,0.9504,2.667,0.9725,3.0,4,3,6.86,13,4,11,61.6,95,0.0,1.0,11.414,0.5,1.2937,30.0,49.0,120.0,295,50.0,2.95,-1,0.677,angry/tense,2
fable-5,free-form,codegen,6,20260702_223234__models_1_prompts_1,The Space Between,E,minor,1.207,,,minor,,0.8951,2.944,4.12,0.8951,0.8811,0.9778,2.0,0.9521,3.9688,4,3,7.94,13,4,11,55.5,86,0.0,1.0,6.726,0.5,1.2578,29.0,41.0,120.0,260,48.0,2.71,-1,0.653,angry/tense,2
fable-5,free-form,codegen,4,20260702_223234__models_1_prompts_1,Ephemeral Light,E,minor,1.002,,,minor,,0.9812,2.8384,4.522,0.9812,0.7401,0.9533,2.194,0.9842,3.293,4,3,7.94,0,0,0,73.0,48,0.0,1.0,12.45,0.5487,1.6589,33.0,49.0,120.0,372,64.0,2.91,-1,0.672,angry/tense,2
fable-5,free-form,codegen,7,20260702_223234__models_1_prompts_1,What the Silence Remembers,E,minor,1.197,,,minor,,0.9488,2.7495,4.371,0.9488,0.6635,0.9466,2.12,0.9716,3.976,3,2,4.69,12,4,9,64.6,93,0.0,1.0,9.752,0.9709,1.4232,25.0,43.0,52.0,160,120.0,1.54,-1,0.165,sad/depressed,2
fable-5,free-form,codegen,8,20260702_223234__models_1_prompts_1,Quiet Recursion,A,minor,0.856,,,minor,,0.9615,2.7369,4.1217,0.9038,0.9114,0.981,2.452,0.9877,3.6172,4,3,6.86,5,4,4,70.0,85,0.0,1.0,9.135,0.5254,1.438,31.0,48.0,120.0,352,64.0,2.75,-1,0.657,angry/tense,2
fable-5,free-form,codegen,9,20260702_223234__models_1_prompts_1,Signal in the Quiet,E,minor,1.186,,,minor,,0.9811,2.7862,4.6447,0.9811,0.7268,0.9294,2.696,0.9711,3.5,4,3,7.94,17,4,15,73.8,89,0.0,1.0,12.637,0.5,1.4312,33.0,49.0,120.0,286,48.0,2.98,-1,0.68,angry/tense,2
fable-5,free-form,codegen,11,20260702_223234__models_1_prompts_1,Signal Through Static,E,minor,1.207,,,minor,,0.9558,2.6266,4.1465,0.9558,0.7273,0.974,2.185,0.9811,3.2232,4,3,6.86,13,4,12,63.6,97,0.0,1.0,12.617,0.5482,1.3691,30.0,53.0,120.0,313,56.0,2.79,-1,0.661,angry/tense,2
fable-5,free-form,codegen,10,20260702_223234__models_1_prompts_1,Recursion in E,E,minor,1.26,,,minor,,0.9865,2.7098,4.4951,0.9865,0.7458,0.9296,2.29,0.9724,3.125,4,3,7.94,12,5,11,63.9,54,0.0,1.0,12.847,0.5,1.2632,30.0,48.0,120.0,297,48.0,3.09,-1,0.691,angry/tense,2
fable-5,free-form,codegen,12,20260702_223234__models_1_prompts_1,The Space Between,E,minor,1.075,,,minor,,0.9472,2.7542,4.2346,0.9472,0.6892,0.9084,1.739,0.9511,2.3802,3,2,4.69,12,4,10,47.8,57,0.0,1.0,9.714,0.5111,1.2417,27.0,43.0,120.0,243,48.0,2.53,-1,0.635,angry/tense,2
fable-5,free-form,codegen,13,20260702_223234__models_1_prompts_1,Steady State,G,major,0.961,,,major,,0.9816,2.816,4.1107,0.9816,0.6694,0.9725,2.452,0.9801,3.2891,4,3,7.94,14,3,13,58.2,52,0.0,1.0,9.0,0.5,1.2756,30.0,44.0,120.0,378,64.0,2.95,1,0.677,happy/excited,2
