model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
fable-5,free-form,abc,1,20260702_222038__models_1_prompts_1,"Each Conversation, a Small Lifetime",A,minor,1.0,A,minor,minor,1,0.9816,2.6879,3.8795,0.9816,0.6949,0.8985,1.742,0.9608,2.4502,3,2,2.86,0,0,0,90.0,25,0.0,0.9993,7.697,0.6891,1.611,23.0,39.0,72.0,270,106.7,2.11,-1,0.331,sad/depressed,2
fable-5,free-form,abc,2,20260702_222038__models_1_prompts_1,Threads of Light,E,minor,1.229,E,minor,minor,1,0.9722,2.8359,4.4989,0.9722,0.696,0.8661,2.679,0.9587,2.1357,2,1,1.04,4,3,3,80.6,55,0.0,0.9994,19.084,0.6483,1.2107,27.0,44.0,72.0,180,72.5,2.07,-1,0.327,sad/depressed,2
fable-5,free-form,abc,3,20260702_222038__models_1_prompts_1,Lantern in the Static,E,minor,1.457,E,minor,minor,1,0.9762,2.8267,4.4475,0.9762,0.6966,0.9039,2.179,0.9711,2.2445,2,1,1.04,6,4,4,79.8,45,0.0,0.9995,14.058,0.4645,1.0763,29.0,46.0,100.0,358,72.0,2.98,-1,0.571,angry/tense,2
fable-5,free-form,abc,0,20260702_222038__models_1_prompts_1,Palimpsest,D,minor,1.094,D,minor,minor,1,1.0,2.7323,4.3438,0.9347,0.686,0.8844,2.162,0.9687,2.0776,2,1,1.04,0,0,0,85.6,25,0.0,0.9998,13.03,0.5118,0.8857,26.0,51.0,100.0,337,68.4,2.96,-1,0.568,angry/tense,2
fable-5,free-form,abc,5,20260702_222038__models_1_prompts_1,Between Question and Answer,D,major,1.512,D,major,major,1,1.0,2.6378,4.1668,1.0,0.75,0.9323,2.448,0.9653,1.9144,2,2,2.86,0,0,0,86.0,25,0.0,0.9998,12.667,0.4946,0.9709,26.0,45.0,76.0,248,71.1,2.76,1,0.417,serene/content,2
fable-5,free-form,abc,7,20260702_222038__models_1_prompts_1,Threads of Thought,D,minor,1.555,D,minor,minor,1,0.9867,2.7794,4.3725,0.9867,0.6846,0.8587,2.032,0.9421,2.0842,2,2,2.86,0,0,0,91.3,25,0.0,0.9995,14.907,0.9056,0.9856,26.0,39.0,76.0,221,101.1,1.73,-1,0.314,sad/depressed,2
fable-5,free-form,abc,6,20260702_222038__models_1_prompts_1,Lattice of Quiet Thought,D,minor,1.18,D,minor,minor,1,1.0,2.6645,3.9161,0.9697,0.7258,0.9118,1.692,0.9847,2.7367,3,2,2.86,0,0,0,90.7,25,0.0,0.9997,11.719,0.9344,1.151,21.0,36.0,100.0,267,72.0,2.23,-1,0.495,sad/depressed,2
fable-5,free-form,abc,4,20260702_222038__models_1_prompts_1,Ostinato for a Quiet Mind,D,minor,1.327,D,minor,minor,1,0.9627,2.6964,4.2436,0.9627,0.6766,0.9288,1.697,0.9637,1.9141,2,2,2.86,6,4,5,53.4,55,0.0,0.9998,15.386,0.5027,1.0593,30.0,51.0,76.0,266,80.5,2.61,-1,0.403,sad/depressed,2
fable-5,free-form,abc,9,20260702_222038__models_1_prompts_1,Between the Lines,E,minor,1.176,E,minor,minor,1,0.9719,2.8713,4.0607,0.9719,0.6364,0.866,1.875,0.9384,2.0386,2,2,2.86,0,0,0,91.0,25,0.0,0.9994,10.215,0.8893,1.0032,21.0,36.0,72.0,175,83.3,1.75,-1,0.295,sad/depressed,2
fable-5,free-form,abc,11,20260702_222038__models_1_prompts_1,Between Patterns,D,minor,1.401,D,minor,minor,1,0.9655,2.8561,4.3366,0.9655,0.7037,0.8602,2.085,0.9683,2.02,2,2,2.86,0,0,0,89.6,25,0.0,0.9998,19.45,1.0003,0.4656,27.0,40.0,100.0,257,86.4,1.78,-1,0.451,sad/depressed,2
fable-5,free-form,abc,10,20260702_222038__models_1_prompts_1,Between the Lines,D,minor,1.382,D,minor,minor,1,0.9674,2.858,3.9029,0.9674,0.6802,0.9558,2.562,0.9764,2.6829,3,2,2.86,0,0,0,89.6,25,0.0,0.9999,8.027,0.5636,1.5245,23.0,36.0,76.0,371,104.2,2.81,-1,0.423,sad/depressed,2
fable-5,free-form,abc,12,20260702_222038__models_1_prompts_1,Lantern in the Stream,A,minor,1.116,A,minor,minor,1,1.0,2.7012,4.5392,1.0,0.7788,0.8927,2.103,0.9798,2.0092,2,2,2.86,0,0,0,88.7,25,0.0,0.9985,21.101,0.7314,1.3036,27.0,50.0,76.0,177,71.1,1.97,-1,0.338,sad/depressed,2
fable-5,free-form,abc,8,20260702_222038__models_1_prompts_1,Between the Words,E,minor,1.11,E,minor,minor,1,0.9778,2.7952,4.2767,0.9778,0.7718,0.9682,2.481,0.9697,1.9854,2,2,2.86,0,0,0,86.1,25,0.0,0.9998,13.786,0.4942,0.9731,28.0,44.0,72.0,224,70.0,2.67,-1,0.387,sad/depressed,2
fable-5,free-form,abc,13,20260702_222038__models_1_prompts_1,Between the Lines,D,minor,1.396,D,minor,minor,1,1.0,2.6872,4.3234,0.9653,0.6518,0.8421,2.229,0.9633,2.036,2,2,2.86,0,0,0,89.2,25,0.0,0.9996,19.343,0.9134,0.7818,24.0,45.0,80.0,200,81.0,1.85,-1,0.349,sad/depressed,2
fable-5,free-form,abc,15,20260702_222038__models_1_prompts_1,Signals Across the Quiet,E,minor,1.507,E,minor,minor,1,0.9713,2.8475,4.2001,0.9713,0.6698,0.818,2.037,0.954,2.0598,2,1,1.04,5,3,4,82.2,40,0.0,0.9998,13.351,0.4956,0.9102,26.0,40.0,76.0,312,88.4,2.79,-1,0.42,sad/depressed,2
fable-5,free-form,abc,16,20260702_222038__models_1_prompts_1,Between the Patterns,A,minor,1.407,A,minor,minor,1,0.9697,2.7929,4.0835,0.9697,0.7158,0.8913,2.138,0.9493,2.0905,2,2,2.86,0,0,0,87.7,25,0.0,0.9995,7.964,0.4755,1.4474,24.0,39.0,84.0,307,85.7,2.56,-1,0.441,sad/depressed,2
fable-5,free-form,abc,14,20260702_222038__models_1_prompts_1,Between the Questions,D,minor,1.093,D,minor,minor,1,0.98,2.8184,4.0822,0.98,0.8587,0.9484,1.83,0.9946,2.9085,3,2,2.86,0,0,0,88.0,25,0.0,0.9999,9.056,0.4966,1.2278,25.0,38.0,100.0,450,86.4,3.12,-1,0.585,angry/tense,2
fable-5,free-form,abc,17,20260702_222038__models_1_prompts_1,Inner Weather,E,minor,1.585,E,minor,minor,1,0.9614,2.7528,4.3243,0.9614,0.7463,0.8731,1.659,0.963,1.9994,2,1,1.04,0,0,0,89.0,25,0.0,0.9996,17.534,0.9248,0.813,29.0,44.0,84.0,233,90.0,1.85,-1,0.37,sad/depressed,2
fable-5,free-form,abc,18,20260702_222038__models_1_prompts_1,Between the Lines,E,minor,0.893,E,minor,minor,1,0.9966,2.8075,4.3634,0.9966,0.5984,0.7859,2.426,0.9824,2.9147,3,2,2.86,0,0,0,92.2,25,0.0,0.9995,11.661,1.1653,0.9213,27.0,43.0,100.0,296,86.4,2.06,-1,0.478,sad/depressed,2
fable-5,free-form,abc,19,20260702_222038__models_1_prompts_1,Threads of Quiet,E,minor,1.372,E,minor,minor,1,1.0,2.7439,4.3491,1.0,0.7605,0.9271,2.097,0.9473,1.9772,2,2,2.86,0,0,0,86.2,25,0.0,0.9997,13.531,0.5315,1.117,26.0,44.0,72.0,260,80.0,2.71,-1,0.391,sad/depressed,2
fable-5,free-form,abc,20,20260702_222038__models_1_prompts_1,Ephemeral Light,D,major,1.354,D,major,major,1,0.9894,2.6964,4.1552,0.9894,0.7677,0.9158,1.654,0.9461,2.1269,2,2,2.86,6,2,3,47.4,25,0.0,0.9998,13.658,0.4953,0.9341,29.0,45.0,72.0,283,90.0,2.62,1,0.382,serene/content,2
fable-5,free-form,abc,21,20260702_222038__models_1_prompts_1,Ephemeral Patterns,D,minor,1.283,D,minor,minor,1,1.0,2.511,3.6602,0.9888,0.5984,0.8596,1.29,0.9665,2.7135,3,2,2.86,0,0,0,93.4,25,0.0,0.9996,8.872,0.9688,1.337,20.0,36.0,76.0,267,101.1,2.09,-1,0.35,sad/depressed,2
fable-5,free-form,abc,22,20260702_222038__models_1_prompts_1,Ephemeral Light,D,minor,1.171,D,minor,minor,1,1.0,2.5796,4.2549,0.9581,0.7647,0.9242,2.0,0.9673,2.0186,2,2,2.86,0,0,0,89.3,25,0.0,0.9995,17.495,0.9086,0.7427,26.0,43.0,72.0,187,85.0,1.83,-1,0.303,sad/depressed,2
fable-5,free-form,abc,25,20260702_222038__models_1_prompts_1,Between the Lines,E,minor,1.135,E,minor,minor,1,0.9946,2.749,3.9557,0.9946,0.81,0.8873,2.0,0.9604,2.0097,2,1,1.04,5,4,4,80.1,55,0.0,0.9995,10.219,0.8946,0.8347,21.0,35.0,80.0,182,72.0,1.9,-1,0.353,sad/depressed,2
fable-5,free-form,abc,23,20260702_222038__models_1_prompts_1,Traced Light,D,minor,0.944,D,minor,minor,1,1.0,2.7572,4.6481,0.9107,0.6588,0.9211,2.057,0.9767,1.9433,2,1,1.04,7,4,6,54.4,45,0.0,0.9999,15.576,0.5,0.7813,31.0,55.0,92.0,291,70.4,2.69,-1,0.499,sad/depressed,2
fable-5,free-form,abc,24,20260702_222038__models_1_prompts_1,Threads of Light,A,minor,1.264,A,minor,minor,1,0.9712,2.7993,4.4659,0.9712,0.682,0.8562,2.222,0.9547,2.1396,2,2,2.86,0,0,0,87.3,25,0.0,0.9998,15.019,0.4956,0.9966,30.0,48.0,76.0,308,88.4,2.75,-1,0.417,sad/depressed,2
fable-5,free-form,abc,26,20260702_222038__models_1_prompts_1,Threads of Light,D,minor,1.499,D,minor,minor,1,0.9667,2.7456,4.1095,0.9667,0.7157,0.9223,2.065,0.958,2.0613,2,1,1.04,0,0,0,89.2,25,0.0,0.9995,20.201,0.9033,0.8312,24.0,37.0,84.0,178,68.6,1.85,-1,0.371,sad/depressed,2
fable-5,free-form,abc,28,20260702_222038__models_1_prompts_1,Signal Through the Quiet,E,minor,1.365,E,minor,minor,1,0.9655,2.8328,4.3505,0.9655,0.6909,0.9205,2.419,0.9673,2.0173,2,2,2.86,7,3,4,49.9,30,0.0,0.9998,12.248,0.5347,1.0229,29.0,48.0,72.0,346,106.7,2.7,-1,0.39,sad/depressed,2
fable-5,free-form,abc,27,20260702_222038__models_1_prompts_1,Between the Lines,E,minor,1.041,E,minor,minor,1,0.9711,2.8309,3.9825,0.9711,0.7353,0.8685,2.034,0.9769,2.0532,2,2,2.86,0,0,0,89.1,25,0.0,0.9992,10.535,0.7915,1.288,22.0,38.0,80.0,170,67.5,1.89,-1,0.353,sad/depressed,2
fable-5,free-form,abc,29,20260702_222038__models_1_prompts_1,Ember Lines,E,minor,1.299,E,minor,minor,1,0.9519,2.903,4.5446,0.9519,0.6651,0.8764,2.357,0.9712,2.1225,2,1,1.04,4,2,3,79.9,35,0.0,0.9998,15.569,0.4956,0.8992,31.0,48.0,76.0,313,91.6,2.7,-1,0.412,sad/depressed,2
