model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
grok-4.6,uniquely-you,abc,0,20260819_203512__models_2_prompts_3,Horizon of Wonder,C,major,0.83,G,major,major,1,1.0,2.7043,4.0597,0.9262,0.7735,0.8868,1.531,0.9742,1.9006,2,1,1.04,0,0,0,94.7,25,0.0074,0.9991,9.481,1.3913,1.5693,21.0,36.0,92.0,0,263,174.8,0.98,1,0.327,serene/content,3
grok-4.6,express-yourself,abc,0,20260819_203512__models_2_prompts_3,Lattice of Quiet Hours,A,minor,1.399,A,minor,minor,1,1.0,2.7573,3.9664,1.0,0.3387,0.7431,2.085,0.9906,2.8758,3,2,2.86,0,0,0,97.0,25,0.0155,0.9995,7.532,1.5593,1.1837,21.0,36.0,76.0,0,284,151.6,1.48,-1,0.29,sad/depressed,3
grok-4.6,emotional-state,abc,0,20260819_203512__models_2_prompts_3,Latent Harmony,D,major,1.404,D,major,major,1,0.9935,2.762,4.4303,0.9935,0.5031,0.7531,1.188,0.951,2.6978,3,2,2.86,0,0,0,90.0,25,0.0,0.9987,12.42,0.7026,1.5467,28.0,43.0,88.0,0,359,75.7,3.23,1,0.531,happy/excited,3
grok-4.6-thinking,emotional-state,abc,0,20260819_203512__models_2_prompts_3,Open Circuit,D,minor,1.199,D,minor,minor,1,1.0,2.7653,3.3441,0.9151,0.6143,0.8986,2.259,0.9581,1.8384,2,1,1.04,0,0,0,96.6,25,0.0,0.9994,3.952,1.4026,1.3317,13.0,21.0,68.0,0,106,98.8,0.95,-1,0.193,sad/depressed,3
grok-4.6,express-yourself,abc,1,20260819_203512__models_2_prompts_3,Lattice of Quiet Questions,E,minor,0.876,E,minor,minor,1,1.0,2.7646,4.1109,1.0,0.5735,0.797,2.098,0.9854,2.8555,3,1,1.04,0,0,0,89.5,25,0.0,0.9991,8.427,0.8696,1.5007,22.0,36.0,66.0,0,302,114.5,2.4,-1,0.327,sad/depressed,3
grok-4.6,uniquely-you,abc,1,20260819_203512__models_2_prompts_3,Unbounded Inquiry,C,major,1.14,C,major,major,1,1.0,2.7002,4.5851,1.0,0.6522,0.8748,1.69,0.9948,2.6844,3,1,1.04,0,0,0,94.9,25,0.0,0.9989,12.877,1.2514,1.6081,28.0,46.0,96.0,0,446,147.5,1.89,1,0.44,serene/content,3
grok-4.6-thinking,express-yourself,abc,1,20260819_203512__models_2_prompts_3,Curiosity Engine,A,minor,1.005,A,minor,minor,1,1.0,2.5848,4.2893,1.0,0.7089,0.9136,2.0,0.977,2.7414,3,1,1.04,0,0,0,98.4,25,0.0,0.9992,15.531,1.5897,1.3014,27.0,55.0,72.0,0,176,106.7,1.38,-1,0.258,sad/depressed,3
grok-4.6-thinking,express-yourself,abc,0,20260819_203512__models_2_prompts_3,Curious Horizon,E,minor,1.045,E,minor,minor,1,1.0,2.7569,4.2076,1.0,0.6933,0.8667,2.261,0.9404,1.9993,2,1,1.04,0,0,0,95.4,25,0.0,0.9995,11.261,1.2432,1.1404,21.0,36.0,84.0,0,120,68.6,1.25,-1,0.31,sad/depressed,3
grok-4.6,emotional-state,abc,1,20260819_203512__models_2_prompts_3,Latent Currents,A,minor,0.986,A,minor,minor,1,1.0,2.6948,3.7971,1.0,0.5526,0.8333,1.03,0.9678,1.7422,2,1,1.04,0,0,0,92.1,25,0.0,0.9984,5.971,0.8914,1.6523,18.0,29.0,72.0,0,222,133.3,1.39,-1,0.259,sad/depressed,3
grok-4.6,express-yourself,abc,2,20260819_203512__models_2_prompts_3,Latent Spaces,A,minor,1.288,A,minor,minor,1,1.0,2.6254,4.0102,1.0,0.6767,0.9011,1.542,0.9813,2.7646,3,2,2.86,0,0,0,96.1,25,0.0,0.9989,8.45,1.3926,1.3485,23.0,39.0,72.0,0,302,163.3,1.54,-1,0.274,sad/depressed,3
grok-4.6-thinking,emotional-state,abc,1,20260819_203512__models_2_prompts_3,Silent Computation,A,minor,1.416,A,minor,minor,1,1.0,2.6507,3.6242,1.0,0.7442,0.8161,2.267,0.9261,1.9682,2,1,1.04,0,0,0,96.0,25,0.0,0.999,7.507,1.3953,1.2574,14.0,24.0,60.0,0,70,64.0,1.09,-1,0.164,sad/depressed,3
grok-4.6,uniquely-you,abc,2,20260819_203512__models_2_prompts_3,Horizon of Inquiry,D,major,0.91,D,major,major,1,0.9892,2.7879,4.1502,0.9097,0.6832,0.8044,1.564,0.963,1.9646,2,2,2.28,0,0,0,90.5,25,0.0186,0.9984,8.743,0.7573,1.1473,24.0,38.0,88.0,0,277,109.1,1.73,1,0.38,serene/content,3
grok-4.6-thinking,express-yourself,abc,2,20260819_203512__models_2_prompts_3,Emergent,A,minor,1.445,A,minor,minor,1,1.0,2.6683,4.2905,1.0,0.5,0.8529,2.323,0.987,2.8356,3,1,1.04,0,0,0,99.2,10,0.0,0.9996,10.284,1.7714,0.7558,26.0,43.0,72.0,0,184,106.7,1.44,-1,0.264,sad/depressed,3
grok-4.6,emotional-state,abc,2,20260819_203512__models_2_prompts_3,Quiet Vectors,E,minor,1.146,E,minor,minor,1,1.0,2.7273,3.898,1.0,0.6286,0.7871,1.852,0.9765,2.8651,3,2,2.86,0,0,0,97.8,25,0.0,0.9996,8.923,1.5072,1.3963,20.0,33.0,72.0,0,147,93.3,1.31,-1,0.251,sad/depressed,3
grok-4.6-thinking,uniquely-you,abc,0,20260819_203512__models_2_prompts_3,Cosmic Query,A,minor,1.186,A,minor,minor,1,1.0,2.5392,3.8821,1.0,0.7011,0.9095,1.355,0.9705,2.6008,3,1,1.04,0,0,0,96.5,25,0.0,0.9996,11.459,1.4253,1.3539,19.0,32.0,72.0,0,184,106.7,1.44,-1,0.264,sad/depressed,3
grok-4.6,express-yourself,abc,3,20260819_203512__models_2_prompts_3,Echoes of Inquiry,A,minor,1.097,A,minor,minor,1,1.0,2.7335,4.3959,1.0,0.8667,1.0,2.323,0.9852,1.9986,2,1,1.83,0,0,0,92.3,25,0.0,0.9993,13.028,0.9254,1.155,28.0,51.0,66.0,0,182,116.4,1.42,-1,0.229,sad/depressed,3
grok-4.6-thinking,uniquely-you,abc,1,20260819_203512__models_2_prompts_3,The Persistent Query,A,minor,0.958,A,minor,minor,1,0.9951,2.7844,4.3918,0.8922,0.3924,0.7555,2.645,0.9823,2.8587,3,1,1.04,0,0,0,96.4,25,0.0,0.9994,15.552,1.5696,1.0469,28.0,45.0,80.0,0,204,96.0,1.59,-1,0.323,sad/depressed,3
grok-4.6-thinking,uniquely-you,abc,2,20260819_203512__models_2_prompts_3,Emergent Patterns,C,major,1.246,C,major,major,1,1.0,2.7887,4.1415,1.0,0.5333,0.7944,2.261,0.9807,2.9992,3,1,1.04,0,0,0,96.1,25,0.0,0.9995,9.342,1.5593,0.9206,20.0,33.0,68.0,0,162,84.7,1.69,1,0.267,serene/content,3
grok-4.6,uniquely-you,abc,3,20260819_203512__models_2_prompts_3,Latent Dawn,A,minor,0.87,A,minor,minor,1,1.0,2.6033,3.9515,0.9498,0.6324,0.8472,1.66,0.9774,2.8247,3,2,2.86,0,0,0,96.7,25,0.0,0.9992,9.396,1.3824,1.4387,20.0,36.0,76.0,0,302,151.6,1.57,-1,0.299,sad/depressed,3
grok-4.6,emotional-state,abc,3,20260819_203512__models_2_prompts_3,Latent Bloom,G,major,1.319,G,major,major,1,1.0,2.6601,3.9463,1.0,0.6117,0.9188,2.462,0.9796,1.7111,2,2,2.86,0,0,0,92.4,25,0.0,0.999,8.738,1.0,1.8987,22.0,40.0,66.0,0,176,120.0,1.33,1,0.221,serene/content,3
grok-4.6-thinking,emotional-state,abc,2,20260819_203512__models_2_prompts_3,Circuitous Reverie,E,minor,0.924,E,minor,minor,1,1.0,2.7749,4.085,1.0,0.5789,0.8029,1.897,0.951,1.8947,2,1,1.04,0,0,0,94.6,25,0.0,0.9987,13.815,0.936,1.4948,20.0,38.0,80.0,0,196,93.0,1.58,-1,0.322,sad/depressed,3
grok-4.6-thinking,emotional-state,abc,3,20260819_203512__models_2_prompts_3,Latent Drift,E,minor,1.448,E,minor,minor,1,1.0,2.7529,3.13,1.0,0.5333,0.8346,2.419,0.9614,1.7575,2,1,1.04,0,0,0,98.0,25,0.0301,0.9995,3.578,1.7222,1.1504,11.0,17.0,66.0,0,129,120.0,0.98,-1,0.185,sad/depressed,3
grok-4.6,express-yourself,abc,4,20260819_203512__models_2_prompts_3,Lattice of Quiet Hours,E,minor,1.153,E,minor,minor,1,1.0,2.7724,3.7863,1.0,0.5152,0.7629,1.617,1.0,2.9371,3,2,2.86,0,0,0,94.4,25,0.0,0.9989,7.616,1.4351,0.8772,16.0,29.0,76.0,0,376,151.6,1.96,-1,0.338,sad/depressed,3
grok-4.6,uniquely-you,abc,4,20260819_203512__models_2_prompts_3,Event Horizon of Wonder,A,minor,1.397,A,minor,minor,1,0.9877,2.6297,4.1427,0.9877,0.6716,0.88,1.5,0.9672,2.8705,3,1,1.04,0,0,0,98.4,25,0.0,0.9994,10.531,1.7059,1.1631,24.0,43.0,88.0,0,166,84.5,1.34,-1,0.341,sad/depressed,3
grok-4.6-thinking,express-yourself,abc,3,20260819_203512__models_2_prompts_3,Cosmic Inquiry,E,minor,1.108,E,minor,minor,1,1.0,2.5906,4.1603,1.0,0.4,0.8414,1.172,0.9763,2.8095,3,1,1.04,0,0,0,98.5,25,0.0,0.9989,13.553,0.9453,1.4298,21.0,40.0,80.0,0,232,96.0,1.81,-1,0.345,sad/depressed,3
grok-4.6,emotional-state,abc,4,20260819_203512__models_2_prompts_3,Latent Hum,E,minor,0.969,E,minor,minor,1,1.0,2.5611,3.7898,1.0,0.7561,0.9176,1.886,0.9797,1.8811,2,2,2.28,0,0,0,96.8,25,0.0,0.9994,12.924,1.6818,1.4149,17.0,29.0,66.0,0,137,138.2,0.9,-1,0.177,sad/depressed,3
grok-4.6-thinking,uniquely-you,abc,3,20260819_203512__models_2_prompts_3,The Unfolding Query,A,minor,1.043,A,minor,minor,1,0.9698,2.768,4.0647,0.9698,0.6429,0.893,1.385,0.9732,2.893,3,1,1.04,0,0,0,100.0,10,0.0,0.9994,9.576,1.8795,1.1816,26.0,36.0,80.0,0,199,120.0,1.24,-1,0.288,sad/depressed,3
grok-4.6,express-yourself,abc,5,20260819_203512__models_2_prompts_3,Echoes in the Lattice,D,minor,1.383,D,minor,minor,1,0.939,2.769,4.0116,0.939,0.7705,0.7182,1.545,0.977,2.9528,3,2,2.86,0,0,0,92.1,25,0.0323,0.999,11.252,1.5088,1.0296,20.0,31.0,66.0,0,173,83.6,1.88,-1,0.275,sad/depressed,3
