model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
opus-4.8,free-form,smt-abc,Refraction,D,minor,1.186,D,minor,minor,1,1.0,2.6642,4.0112,,0.6275,0.7319,1.0,0.9569,5.3168,4,0.0,0.9995,9.988,0.3401,1.1702,23.0,44.0,76.0,143,44.2,2.55,-1,0.397,sad/depressed
opus-4.8,piano-piece,smt-abc,Tidewater,D,major,1.295,D,major,major,1,1.0,2.5897,4.1721,,0.5946,0.8462,1.9,0.9528,1.9045,2,0.0,0.9999,17.222,1.0123,0.4196,24.0,48.0,72.0,145,70.0,1.73,1,0.293,serene/content
opus-4.8,harp-piece,smt-abc,Tributaries,D,major,1.089,D,major,major,1,1.0,2.5601,4.1721,,0.6854,0.8833,1.368,0.9423,1.9187,2,0.0,0.9986,15.29,0.6593,1.0548,24.0,43.0,99.0,125,38.2,1.98,1,0.466,serene/content
opus-4.8,western-harmony,smt-abc,Becoming,D,minor,1.428,D,minor,minor,1,1.0,2.5441,3.8805,,0.6078,0.7756,1.125,0.9614,3.9526,4,0.0,0.9994,9.737,1.2549,0.9141,22.0,38.0,76.0,176,53.7,2.59,-1,0.401,sad/depressed
opus-4.8,fugue,smt-abc,Fugue on a Searching Subject,D,minor,1.27,D,minor,minor,1,0.9745,2.7003,3.6457,,0.3256,0.75,1.28,0.9633,2.2303,3,0.0,0.9997,6.192,0.9434,0.8196,19.0,31.0,92.0,235,67.8,2.26,-1,0.455,sad/depressed
opus-4.8,stab-voicing,smt-abc,"Four Voices, One Breath",D,major,1.45,D,major,major,1,1.0,2.6329,3.9395,,0.8056,0.7121,1.0,0.9581,3.6699,4,0.0189,0.9989,13.362,1.3714,0.6587,22.0,45.0,76.0,142,41.1,2.73,1,0.415,serene/content
opus-4.8,string-quartet,smt-abc,Threads That Hold,D,major,1.529,D,major,major,1,1.0,2.5497,4.1757,,0.6222,0.7798,1.231,0.9411,3.7578,4,0.0,0.9992,12.584,1.1818,1.0746,25.0,43.0,72.0,138,46.7,2.46,1,0.366,serene/content
opus-4.8,orchestral,smt-abc,Threshold of Becoming,D,minor,1.353,D,minor,minor,1,0.9587,2.5735,4.2718,,0.4706,0.8284,1.0,0.9818,5.8021,9,0.0,0.9998,8.988,1.3878,0.6578,29.0,45.0,72.0,251,60.0,3.49,-1,0.469,sad/depressed
opus-4.8,melody-accomp,smt-abc,Currents,D,minor,1.456,D,minor,minor,1,1.0,2.598,3.6657,,0.5882,0.7299,1.25,0.9747,4.4204,3,0.0,0.9988,9.871,0.3447,1.1257,19.0,43.0,84.0,180,60.0,2.14,-1,0.4,sad/depressed
opus-4.8,modern,smt-abc,Signal Through Static,D,minor,1.288,D,minor,minor,1,1.0,2.498,3.747,,0.4891,0.7706,1.933,0.9614,4.1985,4,0.0,0.9985,9.117,0.4758,1.3769,19.0,34.0,88.0,145,49.1,2.01,-1,0.409,sad/depressed
