model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
grok-4.3,free-form,codegen-sparse,0,20260720_151138__models_13_prompts_1,Resonant Circuits,C,major,1.061,,,major,,1.0,2.7335,3.375,1.0,,1.0,2.565,1.0,1.0,1,1,1.04,0,0,0,90.0,0,0.0,1.0,5.884,1.0,0.0,11.0,17.0,72.0,0,96,80.0,1.0,1,0.22,serene/content,3
opus-4.8,free-form,codegen-sparse,0,20260720_151138__models_13_prompts_1,Toward the Light,C,minor,1.27,,,minor,,0.962,2.8375,4.2494,0.962,0.7407,0.8804,2.8,0.8949,2.1094,2,2,4.29,0,0,0,77.9,33,0.0,1.0,8.641,1.4286,1.001,22.0,38.0,72.0,0,63,53.3,0.98,-1,0.218,sad/depressed,3
opus-4.8-thinking,free-form,codegen-sparse,0,20260720_151138__models_13_prompts_1,Toward the Light,A,minor,0.874,,,minor,,1.0,2.7026,4.3651,1.0,0.4681,0.8945,2.4,0.9437,5.2031,4,3,7.94,0,0,0,59.9,28,0.0,1.0,8.43,1.3333,1.1924,24.0,44.0,66.0,0,95,58.2,1.48,-1,0.236,sad/depressed,3
gpt-4.1,free-form,codegen-sparse,0,20260720_151138__models_13_prompts_1,Reflections in Quietude,A,major,1.331,,,major,,1.0,2.5587,3.2406,1.0,0.5333,0.9208,1.714,0.9233,3.2083,2,2,4.69,0,0,0,67.5,43,0.0,1.0,6.6,2.1538,1.2427,13.0,24.0,54.0,0,34,66.7,0.57,1,0.078,serene/content,3
opus-4.8,free-form,codegen-sparse,1,20260720_151138__models_13_prompts_1,Quiet Emergence,D,major,1.033,,,major,,1.0,2.6858,4.0326,1.0,0.5405,0.8904,2.0,0.8711,3.875,2,2,2.28,2,1,1,58.9,43,0.0,1.0,7.92,1.2222,1.4266,19.0,33.0,66.0,0,50,43.6,1.04,1,0.191,serene/content,3
opus-4.8-thinking,free-form,codegen-sparse,1,20260720_151138__models_13_prompts_1,Emergence,A,minor,1.138,,,minor,,1.0,2.6399,4.0955,1.0,0.6486,0.9043,2.125,0.8954,2.5882,2,2,4.69,8,4,7,91.8,63,0.0,1.0,17.069,1.6667,1.3992,23.0,48.0,66.0,0,57,61.8,0.84,-1,0.171,sad/depressed,3
fable-5,free-form,codegen-sparse,0,20260720_151138__models_13_prompts_1,Emergence,C,major,0.845,,,major,,1.0,2.6119,3.8198,0.9298,0.5048,0.9451,1.647,0.9795,1.9784,4,3,6.86,12,4,9,66.3,36,0.0711,1.0,8.472,0.8511,0.8786,23.0,43.0,84.0,0,277,160.0,1.24,1,0.309,serene/content,3
qwen3-max,free-form,codegen-sparse,0,20260720_151138__models_13_prompts_1,Whispers in D Minor,A,minor,0.965,,,minor,,1.0,2.7729,2.8599,1.0,,0.913,1.857,0.6457,1.0,1,1,3.25,0,0,0,90.0,0,0.0645,1.0,1.727,1.2727,1.3642,8.0,12.0,60.0,0,23,32.0,0.72,-1,0.126,sad/depressed,3
sonnet-4.6,free-form,codegen-sparse,1,20260720_151138__models_13_prompts_1,Counterpoint of Uncertain Things,D,minor,0.961,,,minor,,0.8339,3.2635,4.7905,0.8339,0.2705,0.7597,1.077,0.9693,3.5281,4,3,11.02,0,0,0,90.0,0,0.0,1.0,12.442,1.1969,1.6047,39.0,50.0,76.0,0,299,126.3,1.87,-1,0.329,sad/depressed,3
llama-4-maverick,free-form,codegen-sparse,0,20260720_151138__models_13_prompts_1,Echoes in Harmony,C,major,1.063,,,major,,1.0,1.4855,2.5219,1.0,0.75,1.0,0.0,1.0,2.0,2,1,1.04,0,0,0,90.0,0,0.0,1.0,6.154,1.0,0.0,6.0,24.0,,1,32,16.0,1.0,1,0.482,serene/content,3
