model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
grok-4.3,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Algorithmic Serenity,A,minor,0.741,,,minor,,1.0,2.2051,2.2051,1.0,,0.7059,1.4,1.0,1.0,1,1,1.04,0,0,0,90.0,0,0.0,1.0,5.09,1.0597,0.3208,5.0,11.0,60.0,0,68,72.0,0.94,-1,0.149,sad/depressed,3
opus-4.8-thinking,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Toward the Light,D,minor,1.337,,,minor,,0.9167,2.94,4.3193,0.9167,0.6667,0.8705,2.087,0.9541,4.1771,3,2,4.69,4,2,3,85.7,27,0.0,1.0,11.841,1.4375,1.0302,29.0,46.0,66.0,0,138,87.3,1.44,-1,0.231,sad/depressed,3
opus-4.8,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Quiet Reflection in D,D,major,1.306,,,major,,1.0,2.6714,3.9494,1.0,0.6429,0.8268,1.333,0.8897,2.7742,2,2,4.69,0,0,0,90.0,0,0.0,1.0,14.378,1.3659,1.2083,19.0,38.0,72.0,0,67,53.3,1.05,1,0.225,serene/content,3
qwen3-max,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Converging Paths,C,major,0.954,,,major,,1.0,2.7813,3.5297,1.0,0.4375,0.8525,1.667,0.6428,3.8125,2,2,4.29,0,0,0,90.0,0,0.0,1.0,3.556,1.0,0.8092,13.0,21.0,72.0,0,20,26.7,0.62,1,0.182,serene/content,3
opus-4.8,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Quiet Returning,D,major,1.257,,,major,,1.0,2.6217,4.1012,1.0,0.5366,0.872,2.5,0.9326,3.0769,3,3,9.06,0,0,0,58.9,33,0.0,1.0,12.345,1.2,1.3,21.0,43.0,72.0,0,75,43.3,1.44,1,0.264,serene/content,3
llama-4-maverick,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Alternating Fragments,C,major,0.641,,,major,,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1,1,1.04,0,0,0,90.0,0,0.0,1.0,7.0,0.5,0.0,2.0,7.0,120.0,0,120,30.0,2.0,1,0.582,happy/excited,3
opus-4.8-thinking,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Toward the Light,D,minor,1.388,,,minor,,0.9309,2.8527,4.8967,0.9309,0.5766,0.8998,2.273,0.9434,4.9837,4,3,7.94,0,0,0,60.7,20,0.0,1.0,13.438,0.8,1.5497,40.0,55.0,68.0,0,220,81.2,2.39,-1,0.337,sad/depressed,3
gpt-5.5,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Inner Weather,D,minor,1.512,,,minor,,0.8639,3.2258,5.1168,0.8639,0.2099,0.7233,2.774,0.9414,4.9688,4,4,10.24,16,3,12,63.0,0,0.4267,1.0,11.171,0.7607,1.4803,45.0,50.0,72.0,0,400,186.7,1.79,-1,0.299,sad/depressed,3
fable-5,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Emergence,E,minor,1.267,,,minor,,0.9784,2.7713,4.5243,0.9784,0.3393,0.8796,2.448,0.9771,3.8,3,2,4.69,11,4,9,57.0,63,0.0,1.0,9.978,0.5829,1.2213,28.0,45.0,66.0,0,281,109.1,2.34,-1,0.321,sad/depressed,3
grok-4.3,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Algorithmic Reverie,A,minor,1.0,,,minor,,1.0,2.75,2.75,1.0,,0.75,5.0,1.0,1.0,1,1,1.04,0,0,0,90.0,0,0.0,1.0,2.773,0.9916,0.5042,7.0,11.0,,1,120,60.0,1.0,-1,0.482,sad/depressed,3
