model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
opus-4.8,free-form,codegen-sparse,0,20260720_014910__models_13_prompts_1,Quiet Returns,A,minor,1.111,,,minor,,1.0,2.6852,4.3136,1.0,0.6053,0.9143,2.167,0.9009,3.7692,2,2,2.28,0,0,0,54.5,26,0.0,1.0,10.849,1.2973,1.0877,25.0,43.0,66.0,0,51,47.3,0.98,-1,0.185,sad/depressed,3
opus-4.8-thinking,free-form,codegen-sparse,0,20260720_014910__models_13_prompts_1,Quiet Arc,D,minor,0.86,,,minor,,0.9655,2.7973,4.2354,0.9655,0.5965,0.8693,2.105,0.9364,2.675,3,2,4.69,3,2,2,69.2,36,0.0,1.0,18.852,1.3571,1.5157,24.0,50.0,66.0,0,112,72.7,1.4,-1,0.227,sad/depressed,3
gpt-4.1,free-form,codegen-sparse,0,20260720_014910__models_13_prompts_1,Awakening In Quiet Moments,D,major,1.242,,,major,,1.0,2.2285,2.8689,1.0,0.6667,0.8723,0.0,0.7949,1.6875,3,3,7.14,0,0,0,51.0,54,0.0,0.9999,7.094,1.4762,1.0546,10.0,24.0,60.0,0,34,32.0,1.06,1,0.161,serene/content,3
fable-5,free-form,codegen-sparse,0,20260720_014910__models_13_prompts_1,Patterns That Learned to Sing,C,major,0.962,,,major,,0.968,2.8164,4.4387,0.956,0.8862,0.9498,2.435,0.9752,2.6719,3,3,7.94,5,3,2,70.6,36,0.0,1.0,9.586,0.5,1.1444,26.0,43.0,76.0,0,246,75.8,2.56,1,0.398,serene/content,3
grok-4.3,free-form,codegen-sparse,0,20260720_014910__models_13_prompts_1,Stellar Reflections,C,major,0.988,,,major,,1.0,2.2358,2.9212,1.0,0.5625,0.8542,0.0,1.0,3.0,3,2,4.29,0,0,0,90.0,0,0.0,1.0,11.205,1.0,0.9325,8.0,31.0,72.0,0,216,106.7,1.69,1,0.289,serene/content,3
gpt-5.5,free-form,codegen-sparse,0,20260720_014910__models_13_prompts_1,A Quiet Algorithm Learns to Breathe,D,minor,1.376,,,minor,,0.9842,2.7947,4.8738,0.9842,0.1456,0.7534,1.913,0.9409,6.3854,4,4,9.72,15,3,12,65.0,36,0.0,1.0,11.224,0.9109,1.1179,36.0,55.0,66.0,0,230,87.3,2.4,-1,0.327,sad/depressed,3
qwen3-max,free-form,codegen-sparse,0,20260720_014910__models_13_prompts_1,Whispers of Contemplation,C,major,1.202,,,major,,1.0,2.3431,3.7219,1.0,0.6154,0.8095,0.25,0.8109,3.0833,3,3,7.94,0,0,0,82.7,25,0.0,1.0,11.051,0.5,1.0735,20.0,40.0,72.0,0,52,26.7,1.62,1,0.282,serene/content,3
sonnet-4.6,free-form,codegen-sparse,0,20260720_014910__models_13_prompts_1,Refractions,C,major,1.289,,,major,,0.9322,3.0065,4.8475,0.9322,0.3905,0.7124,1.83,0.9704,2.9844,4,3,11.02,0,0,0,90.0,0,0.0,1.0,16.129,1.504,1.1862,40.0,55.0,60.0,0,295,192.0,1.54,1,0.208,serene/content,3
opus-4.8,free-form,codegen-sparse,1,20260720_014910__models_13_prompts_1,Quiet Currents,A,minor,0.979,,,minor,,1.0,2.6997,3.7556,1.0,0.5789,0.8085,2.571,0.9286,2.7167,2,2,4.69,3,2,2,80.7,36,0.0,1.0,13.357,1.5135,1.1512,17.0,38.0,66.0,0,54,54.5,0.9,-1,0.177,sad/depressed,3
opus-4.8-thinking,free-form,codegen-sparse,1,20260720_014910__models_13_prompts_1,"Questions, and a Return",D,minor,1.292,,,minor,,0.9852,2.7053,4.3997,0.9852,0.5,0.9307,2.526,0.9571,4.375,3,2,4.69,0,0,0,59.8,34,0.0,0.9999,10.254,1.2459,1.2483,26.0,45.0,72.0,0,95,66.7,1.19,-1,0.239,sad/depressed,3
sonnet-4.6,free-form,codegen-sparse,1,20260720_014910__models_13_prompts_1,Drift,D,minor,1.206,,,minor,,1.0,2.7587,4.6494,0.9225,0.4082,0.7989,1.739,0.9793,3.7292,4,3,11.02,0,0,0,90.0,0,0.0,1.0,15.348,1.8776,1.1929,28.0,47.0,52.0,0,142,110.8,1.48,-1,0.159,sad/depressed,3
